股票名称,股票代码,股票代码（纯数字）
渤海活塞,sh600960,600960
株冶集团,sh600961,600961
国投中鲁,sh600962,600962
岳阳林纸,sh600963,600963
福成五丰,sh600965,600965
博汇纸业,sh600966,600966
北方创业,sh600967,600967
郴电国际,sh600969,600969
中材国际,sh600970,600970
恒源煤电,sh600971,600971
宝胜股份,sh600973,600973
新五丰,sh600975,600975
健民集团,sh600976,600976
宜华木业,sh600978,600978
广安爱众,sh600979,600979
北矿磁材,sh600980,600980
汇鸿股份,sh600981,600981
宁波热电,sh600982,600982
惠而浦,sh600983,600983
*ST建机,sh600984,600984
雷鸣科化,sh600985,600985
科达股份,sh600986,600986
航民股份,sh600987,600987
赤峰黄金,sh600988,600988
四创电子,sh600990,600990
广汽长丰,sh600991,600991
贵绳股份,sh600992,600992
马应龙,sh600993,600993
文山电力,sh600995,600995
开滦股份,sh600997,600997
九州通,sh600998,600998
招商证券,sh600999,600999
唐山港,sh601000,601000
大同煤业,sh601001,601001
晋亿实业,sh601002,601002
柳钢股份,sh601003,601003
重庆钢铁,sh601005,601005
大秦铁路,sh601006,601006
金陵饭店,sh601007,601007
连云港,sh601008,601008
南京银行,sh601009,601009
文峰股份,sh601010,601010
宝泰隆,sh601011,601011
隆基股份,sh601012,601012
陕西黑猫,sh601015,601015
节能风电,sh601016,601016
宁波港,sh601018,601018
春秋航空,sh601021,601021
玉龙股份,sh601028,601028
一拖股份,sh601038,601038
赛轮金宇,sh601058,601058
西部黄金,sh601069,601069
中国神华,sh601088,601088
中南传媒,sh601098,601098
太平洋,sh601099,601099
恒立油缸,sh601100,601100
昊华能源,sh601101,601101
中国一重,sh601106,601106
四川成渝,sh601107,601107
中国国航,sh601111,601111
华鼎股份,sh601113,601113
三江购物,sh601116,601116
中国化学,sh601117,601117
海南橡胶,sh601118,601118
四方股份,sh601126,601126
博威合金,sh601137,601137
深圳燃气,sh601139,601139
重庆水务,sh601158,601158
兴业银行,sh601166,601166
西部矿业,sh601168,601168
北京银行,sh601169,601169
杭齿前进,sh601177,601177
中国西电,sh601179,601179
中国铁建,sh601186,601186
龙江交通,sh601188,601188
东兴证券,sh601198,601198
江南水务,sh601199,601199
东材科技,sh601208,601208
内蒙君正,sh601216,601216
吉鑫科技,sh601218,601218
林洋电子,sh601222,601222
陕西煤业,sh601225,601225
华电重工,sh601226,601226
环旭电子,sh601231,601231
桐昆股份,sh601233,601233
广汽集团,sh601238,601238
庞大集团,sh601258,601258
*ST二重,sh601268,601268
农业银行,sh601288,601288
中国北车,sh601299,601299
骆驼股份,sh601311,601311
江南嘉捷,sh601313,601313
中国平安,sh601318,601318
交通银行,sh601328,601328
广深铁路,sh601333,601333
新华保险,sh601336,601336
百隆东方,sh601339,601339
陕鼓动力,sh601369,601369
兴业证券,sh601377,601377
怡球资源,sh601388,601388
中国中铁,sh601390,601390
工商银行,sh601398,601398
东风股份,sh601515,601515
吉林高速,sh601518,601518
大智慧,sh601519,601519
东吴证券,sh601555,601555
*ST锐电,sh601558,601558
九牧王,sh601566,601566
三星电气,sh601567,601567
会稽山,sh601579,601579
北辰实业,sh601588,601588
鹿港科技,sh601599,601599
中国铝业,sh601600,601600
中国太保,sh601601,601601
上海医药,sh601607,601607
中信重工,sh601608,601608
广电电气,sh601616,601616
中国中冶,sh601618,601618
中国人寿,sh601628,601628
长城汽车,sh601633,601633
旗滨集团,sh601636,601636
平煤股份,sh601666,601666
中国建筑,sh601668,601668
中国电建,sh601669,601669
明泰铝业,sh601677,601677
滨化股份,sh601678,601678
华泰证券,sh601688,601688
拓普集团,sh601689,601689
潞安环能,sh601699,601699
风范股份,sh601700,601700
郑煤机,sh601717,601717
际华集团,sh601718,601718
上海电气,sh601727,601727
中国南车,sh601766,601766
力帆股份,sh601777,601777
光大证券,sh601788,601788
宁波建工,sh601789,601789
蓝科高新,sh601798,601798
星宇股份,sh601799,601799
中国交建,sh601800,601800
皖新传媒,sh601801,601801
中海油服,sh601808,601808
光大银行,sh601818,601818
中国石油,sh601857,601857
中海集运,sh601866,601866
招商轮船,sh601872,601872
正泰电器,sh601877,601877
大连港,sh601880,601880
江河创建,sh601886,601886
中国国旅,sh601888,601888
亚星锚链,sh601890,601890
中煤能源,sh601898,601898
紫金矿业,sh601899,601899
方正证券,sh601901,601901
京运通,sh601908,601908
国投新集,sh601918,601918
中国远洋,sh601919,601919
凤凰传媒,sh601928,601928
吉视传媒,sh601929,601929
永辉超市,sh601933,601933
建设银行,sh601939,601939
金钼股份,sh601958,601958
中国汽研,sh601965,601965
海南矿业,sh601969,601969
中国银行,sh601988,601988
中国重工,sh601989,601989
大唐发电,sh601991,601991
金隅股份,sh601992,601992
丰林集团,sh601996,601996
中信银行,sh601998,601998
出版传媒,sh601999,601999
人民网,sh603000,603000
奥康国际,sh603001,603001
宏昌电子,sh603002,603002
龙宇燃油,sh603003,603003
晶方科技,sh603005,603005
联明股份,sh603006,603006
喜临门,sh603008,603008
北特科技,sh603009,603009
万盛股份,sh603010,603010
合锻股份,sh603011,603011
创力集团,sh603012,603012
弘讯科技,sh603015,603015
园区设计,sh603017,603017
设计股份,sh603018,603018
中科曙光,sh603019,603019
爱普股份,sh603020,603020
